,AtomizerFlow,ExhaustFlowDelta,SheathFlow,PrintSpeed,ZOffset,NumLayers,SlideCoating,StageTemperature,TubingMaterial,TubingID,PrintTime,SeasoningTime,SeasoningAtomizerFlow,SeasoningExhaustDelta,Completed,AmbientTemperature,Humidity,InkAge,Material,HighBPSolvent,LowBPSolvent,Ratio,Viscosity,Density,BatchVolume,SuppliedVolume,AverageParticleDiameter,MachineID,AtomizerType,MistTubeLength,PrintID,Notes
16,816.4302707879774,23.204554042398676,41.349883270982936,2.2659246973133507,2.6069510445612947,1,Glass,22,Polyethylene,0.125,3997,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
17,832.3168467153023,20.77599217244536,51.61829328345258,3.843647753912703,2.9467319805883383,1,Glass,22,Polyethylene,0.125,4158,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
18,856.3468776959744,28.216625326477555,36.308858809436444,1.4521744590064356,2.9692249038291356,1,Glass,22,Polyethylene,0.125,4319,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
19,859.1991992454612,20.077794015500917,33.28624411609037,2.722943076061581,3.7231690432289826,1,Glass,22,Polyethylene,0.125,4479,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
20,881.1826301283545,23.005388653383697,55.852668011251374,4.642822272479377,4.169636058947601,1,Glass,22,Polyethylene,0.125,4640,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
21,891.4834508399481,29.780699351139855,36.83557046086372,0.3029835501179414,5.649650031526347,1,Glass,22,Polyethylene,0.125,4800,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
22,908.7395493173386,29.529682104105532,48.47998559638339,1.6277789420482476,3.3888934027077484,1,Glass,22,Polyethylene,0.125,4961,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
23,926.8758181714265,21.198587491433077,46.27183299099756,3.9570839907959603,5.848622528278158,1,Glass,22,Polyethylene,0.125,5122,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
24,930.9358847389869,26.329441313251714,58.562887626658515,1.8277162798717084,4.498042365426906,1,Glass,22,Polyethylene,0.125,5283,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
25,947.7872315724264,27.321109989707793,40.8529638443904,3.6387303710774788,5.767229771802939,1,Glass,22,Polyethylene,0.125,5444,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
