PrintNum,Slide,Row,RowPos,Capture,AtomizerFlow,ExhaustFlow,ExhaustFlowDelta,SheathFlow,Speed,NumObjects,RSS,Roughness,NormalizedRoughness,AvgWidth,WidthSD,NormalizedWidthSD,MinWidth,NormalizedMinWidth,Ten90Range,AvgCurv,Error,QualityScore1,QualityScore2,QualityScore3,Pass
122,3,4,2,126,870,880,-10,110,1.5,1,5.78113329395792,3.75003129392491,0.349117897227572,10.7414467253177,3.13277690059416,0.291653161879039,2,0.186194658051599,7,0.0464308413378198,0,37.2019212371381,57.4137965520795,36.1206948281193,0
123,3,4,3,127,870,880,-10,110,2.5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,3,4,4,128,870,880,-10,110,3.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,3,4,5,129,870,880,-10,110,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,3,4,6,130,870,880,-10,110,5.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,3,4,7,131,870,880,-10,110,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,3,4,8,132,870,880,-10,110,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,3,5,1,133,870,880,-10,120,0.5,1,5.12024088393068,3.49674925396237,0.118622313529762,29.4780058651026,2.60997805721317,0.0885398445592608,24,0.8141663350577,6,0.0340166571223883,0,53.5646792108428,63.2945207684933,44.94178115274,1
130,3,5,2,134,870,880,-10,120,1.5,1,4.9161716801911,3.48308790296299,0.137519496911721,25.3279569892473,2.12067951238211,0.0837288026540166,19,0.750159201867969,6,0.0347521416151949,0,53.4374890597017,64.680354420328,47.020531630492,1
131,3,5,3,135,870,880,-10,120,2.5,1,5.59653168318334,3.76844597713009,0.188740556392944,19.966275659824,2.46547535258305,0.123481985052628,13,0.651097892340457,6,0.0401731552819609,0,48.7393231063881,61.7240303974029,42.5860455961043,0
132,3,5,4,136,870,880,-10,120,3.5,1,9.49095718672466,4.9865985557973,0.304600108827027,16.3709677419355,3.7052421388509,0.226330061683503,5,0.305418719211823,10,0.0487154025249458,0,39.3257956533519,54.7440586955151,32.1160880432726,0
133,3,5,5,137,870,880,-10,120,4.5,2,61.6477966454987,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,3,5,6,138,870,880,-10,120,5.5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,3,5,7,139,870,880,-10,120,6.5,5,36.4694587715981,2.52592313777441,0.193090581070025,13.0815450643777,2.18877489329551,0.16731776579326,6,0.458661417322835,4,1.6696768160191,0,-0,-513.854854984018,-0,0
